 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 
 Luminosity: 5.2e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 31.9e3 K 
 Effective temperature (at optical depth 2/3): 18.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
       10.0120729149        1.040400000e-107             1.000000000
	13.4786300382	1.0404e-107	1.0
	13.4876257075	1.0404e-107	1.0
	13.496627316	1.0404e-107	1.0
	13.5056350158	1.0404e-107	1.0
	13.5146489592	1.0404e-107	1.0
	13.5236685373	1.0404e-107	1.0
	13.5326943594	1.0404e-107	1.0
	13.5417264265	1.0404e-107	1.0
	13.5507641267	1.0404e-107	1.0
	13.5598077653	1.0404e-107	1.0
	13.5688578024	1.0404e-107	1.0
	13.5779137784	1.0404e-107	1.0
	13.5869756926	1.0404e-107	1.0
	13.5960438531	1.0404e-107	1.0
	13.6051177975	1.0404e-107	1.0
	13.6141979884	1.0404e-107	1.0
	13.6232842721	1.0404e-107	1.0
	13.6323766481	1.0404e-107	1.0
	13.6414749619	1.0404e-107	1.0
	13.6505792126	1.0404e-107	1.0
	13.6596897112	1.0404e-107	1.0
	13.6688063022	1.0404e-107	1.0
	13.6779288298	1.0404e-107	1.0
	13.6870576059	1.0404e-107	1.0
	13.6961924747	1.0404e-107	1.0
	13.7053334359	1.0404e-107	1.0
	13.7144804899	1.0404e-107	1.0
	13.7236336365	1.0404e-107	1.0
	13.7327927182	1.0404e-107	1.0
	13.7419580495	1.0404e-107	1.0
	13.7511296307	1.0404e-107	1.0
	13.7603073047	1.0404e-107	1.0
	13.769490913	1.0404e-107	1.0
	13.7786807717	1.0404e-107	1.0
	13.7878768812	1.0404e-107	1.0
	13.7970787656	1.0404e-107	1.0
	13.8062872184	1.0404e-107	1.0
	13.8155016045	1.0404e-107	1.0
	13.8247220824	1.0404e-107	1.0
	13.8339488115	1.0404e-107	1.0
	13.8431817923	1.0404e-107	1.0
	13.8524208653	1.0404e-107	1.0
	13.8616658694	1.0404e-107	1.0
	13.8709172853	1.0404e-107	1.0
	13.8801747929	1.0404e-107	1.0
	13.8894385524	1.0404e-107	1.0
	13.8987085641	1.0404e-107	1.0
	13.9079845058	1.0404e-107	1.0
	13.917266861	1.0404e-107	1.0
	13.926555307	1.0404e-107	1.0
	13.9358498435	1.0404e-107	1.0
	13.9451507943	1.0404e-107	1.0
	13.9544579979	1.0404e-107	1.0
	13.9637712919	1.0404e-107	1.0
	13.9730908386	1.0404e-107	1.0
	13.9824164751	1.0404e-107	1.0
	13.991748364	1.0404e-107	1.0
	14.0010865057	1.0404e-107	1.0
	14.0104310637	1.0404e-107	1.0
	14.019781875	1.0404e-107	1.0
	14.0291384472	1.0404e-107	1.0
	14.0385017644	1.0404e-107	1.0
	14.0478710057	1.0404e-107	1.0
	14.0572468293	1.0404e-107	1.0
	14.0666287412	1.0404e-107	1.0
	14.0760167407	1.0404e-107	1.0
	14.0854113234	1.0404e-107	1.0
	14.0948118281	1.0404e-107	1.0
	14.1042190826	1.0404e-107	1.0
	14.1136320924	1.0404e-107	1.0
	14.1230515205	1.0404e-107	1.0
	14.1324775341	1.0404e-107	1.0
	14.141909634	1.0404e-107	1.0
	14.1513479865	1.0404e-107	1.0
	14.1607927585	1.0404e-107	1.0
	14.1702437832	1.0404e-107	1.0
	14.1797008925	1.0404e-107	1.0
	14.1891645891	1.0404e-107	1.0
	14.1986345383	1.0404e-107	1.0
	14.2081107394	1.0404e-107	1.0
	14.2175933609	1.0404e-107	1.0
	14.2270824033	1.0404e-107	1.0
	14.2365775286	1.0404e-107	1.0
	14.2460790744	1.0404e-107	1.0
	14.2555872106	1.0404e-107	1.0
	14.2651012593	1.0404e-107	1.0
	14.2746220684	1.0404e-107	1.0
	14.2841487888	1.0404e-107	1.0
	14.2936822706	1.0404e-107	1.0
	14.3032220037	1.0404e-107	1.0
	14.3127679874	1.0404e-107	1.0
	14.3223205635	1.0404e-107	1.0
	14.331879219	1.0404e-107	1.0
	14.3414446388	1.0404e-107	1.0
	14.3510159657	1.0404e-107	1.0
	14.3605940575	1.0404e-107	1.0
	14.3701785714	1.0404e-107	1.0
	14.3797689903	1.0404e-107	1.0
	14.3893661755	1.0404e-107	1.0
	14.3989697826	1.0404e-107	1.0
	14.4085798117	1.0404e-107	1.0
	14.4181960896	1.0404e-107	1.0
	14.4278189624	1.0404e-107	1.0
	14.4374480836	1.0404e-107	1.0
	14.4470838005	1.0404e-107	1.0
	14.4567259394	1.0404e-107	1.0
	14.4663743257	1.0404e-107	1.0
	14.476029483	1.0404e-107	1.0
	14.4856907127	1.0404e-107	1.0
	14.495358714	1.0404e-107	1.0
	14.5050327866	1.0404e-107	1.0
	14.5147136316	1.0404e-107	1.0
	14.5244008984	1.0404e-107	1.0
	14.5340944107	1.0404e-107	1.0
	14.5437946967	1.0404e-107	1.0
	14.5535012277	1.0404e-107	1.0
	14.5632143569	1.0404e-107	1.0
	14.5729339072	1.0404e-107	1.0
	14.5826598786	1.0404e-107	1.0
	14.5923926259	1.0404e-107	1.0
	14.6021316167	1.0404e-107	1.0
	14.6118772063	1.0404e-107	1.0
	14.621629395	1.0404e-107	1.0
	14.6313878259	1.0404e-107	1.0
	14.6411530346	1.0404e-107	1.0
	14.6509246638	1.0404e-107	1.0
	14.6607025341	1.0404e-107	1.0
	14.6704871827	1.0404e-107	1.0
	14.6802786107	1.0404e-107	1.0
	14.6900760991	1.0404e-107	1.0
	14.6998803669	1.0404e-107	1.0
	14.7096914149	1.0404e-107	1.0
	14.7195087023	1.0404e-107	1.0
	14.7293325893	1.0404e-107	1.0
	14.7391630765	1.0404e-107	1.0
	14.748999801	1.0404e-107	1.0
	14.7588434881	1.0404e-107	1.0
	14.7686937756	1.0404e-107	1.0
	14.7785502994	1.0404e-107	1.0
	14.7884137878	1.0404e-107	1.0
	14.7982836941	1.0404e-107	1.0
	14.808159835	1.0404e-107	1.0
	14.8180431247	1.0404e-107	1.0
	14.8279326485	1.0404e-107	1.0
	14.8378289558	1.0404e-107	1.0
	14.8477318635	1.0404e-107	1.0
	14.8576411874	1.0404e-107	1.0
	14.8675572954	1.0404e-107	1.0
	14.8774801883	1.0404e-107	1.0
	14.8874094969	1.0404e-107	1.0
	14.8973455908	1.0404e-107	1.0
	14.9072879144	1.0404e-107	1.0
	14.9172372085	1.0404e-107	1.0
	14.9271931026	1.0404e-107	1.0
	14.9371555969	1.0404e-107	1.0
	14.947124691	1.0404e-107	1.0
	14.957100571	1.0404e-107	1.0
	14.9670830509	1.0404e-107	1.0
	14.9770719435	1.0404e-107	1.0
	14.9870678095	1.0404e-107	1.0
	14.9970706503	1.0404e-107	1.0
	15.0070795278	1.0404e-107	1.0
	15.01709538	1.0404e-107	1.0
	15.0271180197	1.0404e-107	1.0
	15.0371468814	1.0404e-107	1.0
	15.0471829075	1.0404e-107	1.0
	15.0572257218	1.0404e-107	1.0
	15.0672749458	1.0404e-107	1.0
	15.0773309576	1.0404e-107	1.0
	15.0873933779	1.0404e-107	1.0
	15.0974629657	1.0404e-107	1.0
	15.1075389614	1.0404e-107	1.0
	15.1176217452	1.0404e-107	1.0
	15.1277115078	1.0404e-107	1.0
	15.1378078683	1.0404e-107	1.0
	15.1479110174	1.0404e-107	1.0
	15.1580207637	1.0404e-107	1.0
	15.1681372985	1.0404e-107	1.0
	15.1782608139	1.0404e-107	1.0
	15.1883905415	1.0404e-107	1.0
	15.1985274422	1.0404e-107	1.0
	15.2086711319	1.0404e-107	1.0
	15.2188216106	1.0404e-107	1.0
	15.228978685	1.0404e-107	1.0
	15.2391423543	1.0404e-107	1.0
	15.2493131998	1.0404e-107	1.0
	15.2594908344	1.0404e-107	1.0
	15.2696750638	1.0404e-107	1.0
	15.2798660818	1.0404e-107	1.0
	15.2900638885	1.0404e-107	1.0
	15.3002686789	1.0404e-107	1.0
	15.3104800629	1.0404e-107	1.0
	15.3206986268	1.0404e-107	1.0
