#wavelength    flux
4946.002462    5.997165876e-15
4948.308996    6.015905957e-15
4950.61553    5.923437293e-15
4952.922065    5.913516073e-15
4955.228599    5.925384964e-15
4957.535133    5.830866846e-15
4959.841667    5.90140739e-15
4962.148201    5.908644308e-15
4964.454736    5.845401062e-15
4966.76127    5.823146892e-15
4969.067804    5.673512613e-15
4971.374338    5.73170468e-15
4973.680872    5.876515497e-15
4975.987407    5.916393589e-15
4978.293941    5.960358514e-15
4980.600475    5.875665008e-15
4982.907009    5.761278574e-15
4985.213543    5.692043953e-15
4987.520078    5.72931365e-15
4989.826612    5.83751722e-15
4992.133146    5.79447869e-15
4994.43968    5.742341828e-15
4996.746214    5.737884093e-15
4999.052749    5.715250395e-15
5001.359283    5.705846714e-15
5003.665817    5.801439588e-15
5005.972351    5.579111803e-15
5008.278885    5.554376897e-15
5010.58542    5.590678796e-15
5012.891954    5.44907327e-15
5015.198488    5.453034167e-15
5017.505022    5.557803004e-15
5019.811556    5.712162413e-15
5022.11809    5.625474658e-15
5024.424625    5.561801854e-15
5026.731159    5.660196338e-15
5029.037693    5.672644873e-15
5031.344227    5.676371152e-15
5033.650761    5.600477532e-15
5035.957296    5.594753552e-15
5038.26383    5.539194033e-15
5040.570364    5.381022088e-15
5042.876898    5.458730545e-15
5045.183432    5.496987015e-15
5047.489967    5.397195177e-15
5049.796501    5.374733991e-15
5052.103035    5.400093394e-15
5054.409569    5.415669588e-15
5056.716103    5.446504552e-15
5059.022638    5.525211859e-15
5061.329172    5.457683391e-15
5063.635706    5.337498797e-15
5065.94224    5.335614955e-15
5068.248774    5.461692592e-15
5070.555309    5.429851877e-15
5072.861843    5.412429795e-15
5075.168377    5.421227955e-15
5077.474911    5.38491053e-15
5079.781445    5.3778513e-15
5082.08798    5.45533204e-15
5084.394514    5.50864544e-15
5086.701048    5.479464876e-15
5089.007582    5.422821975e-15
5091.314116    5.413982411e-15
5093.620651    5.464444173e-15
5095.927185    5.403874878e-15
5098.233719    5.370880052e-15
5100.540253    5.386042215e-15
5102.846787    5.328973207e-15
5105.153322    5.295609203e-15
5107.459856    5.327472344e-15
5109.76639    5.328652333e-15
5112.072924    5.299946179e-15
5114.379458    5.288601727e-15
5116.685993    5.26218827e-15
5118.992527    5.182107761e-15
5121.299061    5.235586774e-15
5123.605595    5.340383213e-15
5125.912129    5.306120417e-15
5128.218664    5.362630483e-15
5130.525198    5.313848997e-15
5132.831732    5.253341806e-15
5135.138266    5.280414263e-15
5137.4448    5.291888099e-15
5139.751335    5.314984132e-15
5142.057869    5.26312329e-15
5144.364403    5.335778843e-15
5146.670937    5.299142268e-15
5148.977471    5.196980102e-15
5151.284006    5.200314777e-15
5153.59054    5.292136518e-15
5155.897074    5.276049685e-15
5158.203608    5.259726511e-15
5160.510142    5.297318807e-15
5162.816677    5.282135942e-15
5165.123211    5.267237724e-15
5167.429745    5.310219325e-15
5169.736279    5.285677633e-15
5172.042813    5.255793215e-15
5174.349348    5.232783439e-15
5176.655882    5.202238296e-15
5178.962416    5.237505118e-15
5181.26895    5.228063484e-15
5183.575484    5.234204945e-15
5185.882019    5.214659228e-15
5188.188553    5.166490164e-15
5190.495087    5.162208392e-15
5192.801621    5.160805862e-15
5195.108155    5.21420897e-15
5197.41469    5.234665555e-15
5199.721224    5.159160089e-15
5202.027758    5.219305002e-15
5204.334292    5.247736861e-15
5206.640826    5.104716728e-15
5208.947361    5.009187684e-15
5211.253895    5.082341799e-15
5213.560429    5.137718455e-15
5215.866963    5.258499943e-15
5218.173497    5.313704086e-15
5220.480032    5.229162392e-15
5222.786566    5.219715583e-15
5225.0931    5.10027452e-15
5227.399634    5.046790331e-15
5229.706168    5.030422303e-15
5232.012703    5.061181361e-15
5234.319237    5.106716153e-15
5236.625771    5.018154907e-15
5238.932305    5.024674171e-15
5241.238839    5.073008848e-15
5243.545374    5.144379179e-15
5245.851908    5.093210114e-15
5248.158442    5.049414253e-15
5250.464976    5.036655195e-15
5252.77151    5.124579869e-15
5255.078045    5.157740307e-15
5257.384579    5.038690848e-15
5259.691113    4.969180207e-15
5261.997647    4.963380322e-15
5264.304181    5.048223914e-15
5266.610716    5.142307299e-15
5268.91725    5.091064053e-15
5271.223784    5.165085908e-15
5273.530318    5.152790911e-15
5275.836852    5.075855312e-15
5278.143387    4.978335469e-15
5280.449921    4.926262436e-15
5282.756455    4.991851858e-15
5285.062989    4.965648867e-15
5287.369523    4.909680492e-15
5289.676058    4.922472327e-15
5291.982592    4.977766176e-15
5294.289126    4.950821379e-15
5296.59566    5.033277392e-15
5298.902194    5.011897862e-15
5301.208729    4.932412523e-15
5303.515263    4.85649475e-15
5305.821797    4.888570082e-15
5308.128331    4.910575834e-15
5310.434865    4.907223907e-15
5312.7414    4.842880029e-15
5315.047934    4.833723042e-15
5317.354468    4.89966439e-15
5319.661002    4.917728221e-15
5321.967536    4.96975295e-15
5324.274071    5.032737426e-15
5326.580605    4.999718448e-15
5328.887139    4.888190554e-15
5331.193673    4.930466577e-15
5333.500207    4.968591938e-15
5335.806741    4.958061747e-15
5338.113276    4.85369314e-15
5340.41981    4.838732817e-15
5342.726344    4.81798296e-15
5345.032878    4.801832298e-15
5347.339412    4.830457371e-15
5349.645947    4.838727642e-15
5351.952481    4.86867934e-15
5354.259015    4.854141674e-15
5356.565549    4.771751216e-15
5358.872083    4.720582151e-15
5361.178618    4.712920851e-15
5363.485152    4.674433213e-15
5365.791686    4.791008836e-15
5368.09822    4.85568739e-15
5370.404754    4.771575253e-15
5372.711289    4.764755816e-15
5375.017823    4.970537884e-15
5377.324357    4.918927186e-15
5379.630891    4.835287734e-15
5381.937425    4.829424019e-15
5384.24396    4.830921431e-15
5386.550494    4.762846098e-15
5388.857028    4.805808722e-15
5391.163562    4.863298661e-15
5393.470096    4.762968582e-15
5395.776631    4.758802394e-15
5398.083165    4.761398714e-15
5400.389699    4.716917976e-15
5402.696233    4.779436668e-15
5405.002767    4.800766168e-15
5407.309302    4.712016883e-15
5409.615836    4.70238031e-15
5411.92237    4.738846097e-15
5414.228904    4.712208373e-15
5416.535438    4.756283705e-15
5418.841973    4.831628734e-15
5421.148507    4.829470597e-15
5423.455041    4.839840351e-15
5425.761575    4.817524076e-15
5428.068109    4.8448277e-15
5430.374644    4.819313035e-15
5432.681178    4.904118674e-15
5434.987712    4.885275085e-15
5437.294246    4.777142245e-15
5439.60078    4.722471168e-15
5441.907315    4.623219295e-15
5444.213849    4.637242872e-15
5446.520383    4.660718434e-15
5448.826917    4.759920278e-15
5451.133451    4.701478067e-15
5453.439986    4.57925782e-15
5455.74652    4.669694282e-15
5458.053054    4.706605152e-15
5460.359588    4.70684667e-15
5462.666122    4.566233093e-15
5464.972657    4.367184206e-15
5467.279191    4.472365349e-15
5469.585725    4.565115209e-15
5471.892259    4.569267596e-15
5474.198793    4.536428031e-15
5476.505328    4.518579842e-15
5478.811862    4.559694852e-15
5481.118396    4.573978924e-15
5483.42493    4.524871389e-15
5485.731464    4.516789158e-15
5488.037999    4.591040455e-15
5490.344533    4.647693706e-15
5492.651067    4.645318203e-15
