#wavelength f_lam e_lam telcor
3754.299999999973 5.210954536995937e-13 7.093419017668544e-16 1.0
3754.9999999999727 5.219061575649686e-13 6.937064883447614e-16 1.0
3755.6999999999725 5.218602877496406e-13 7.226277165614199e-16 1.0
3756.3999999999724 5.216959573920059e-13 7.162079391057912e-16 1.0
3757.099999999972 5.261310750647435e-13 7.207667853477402e-16 1.0
3757.799999999972 5.354944001587593e-13 7.276164506497986e-16 1.0
3758.499999999972 5.337482710442335e-13 6.935928618770138e-16 1.0
3759.1999999999716 5.254389732805508e-13 7.061865005966664e-16 1.0
3759.8999999999714 5.212774318884066e-13 6.831659797199976e-16 1.0
3760.5999999999713 5.221601086197469e-13 7.072328739097395e-16 1.0
3761.299999999971 5.232054393996823e-13 6.952610917177454e-16 1.0
3761.999999999971 5.214150458602846e-13 7.273606115029418e-16 1.0
3762.6999999999707 5.196259702055859e-13 7.244367437114575e-16 1.0
3763.3999999999705 5.26449495671024e-13 6.927730567925878e-16 1.0
3764.0999999999704 5.228747997541626e-13 7.0197830489395e-16 1.0
3764.79999999997 5.148596369614001e-13 6.707416668623102e-16 1.0
3765.49999999997 5.165699369198749e-13 6.904727940333531e-16 1.0
3766.19999999997 5.175673619219228e-13 6.743461743231668e-16 1.0
3766.8999999999696 5.227084895976866e-13 7.064312073506367e-16 1.0
3767.5999999999694 5.203249505225715e-13 7.008908778081582e-16 1.0
3768.2999999999693 5.152762046109645e-13 6.974614444225915e-16 1.0
3768.999999999969 5.137232838504132e-13 7.028358421018599e-16 1.0
3769.699999999969 5.169352937281004e-13 6.733078213770439e-16 1.0
3770.3999999999687 5.200823608965139e-13 6.885500027163994e-16 1.0
3771.0999999999685 5.169845300335777e-13 6.669619761247971e-16 1.0
3771.7999999999683 5.142267310103911e-13 6.903490122628289e-16 1.0
3772.499999999968 5.131559440371974e-13 6.800365002224136e-16 1.0
3773.199999999968 5.127668382949461e-13 7.098178301814699e-16 1.0
3773.899999999968 5.1259398956587e-13 7.083076058734915e-16 1.0
3774.5999999999676 5.120856300216329e-13 6.73939829351517e-16 1.0
3775.2999999999674 5.118112272074579e-13 6.820417032606483e-16 1.0
3775.9999999999673 5.119169689780938e-13 6.580138389788234e-16 1.0
