# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
4656.860000 3.121716e-16 1.048800e-17
4659.860000 3.021349e-16 1.164931e-17
4662.860000 3.007916e-16 1.132647e-17
4665.860000 3.086615e-16 1.025875e-17
4668.860000 3.300967e-16 1.084831e-17
4671.860000 3.401098e-16 1.173646e-17
4674.860000 3.257423e-16 1.108239e-17
4677.860000 3.403519e-16 1.035414e-17
4680.860000 3.432033e-16 1.110663e-17
4683.860000 3.452081e-16 1.185626e-17
4686.860000 3.300054e-16 1.095302e-17
4689.860000 3.264350e-16 1.024727e-17
4692.860000 3.309236e-16 1.135261e-17
4695.860000 3.322795e-16 1.174968e-17
4698.860000 3.295939e-16 1.079302e-17
4701.860000 3.425435e-16 1.044358e-17
4704.860000 3.248433e-16 1.154780e-17
4707.860000 3.197976e-16 1.173751e-17
4710.860000 3.230987e-16 1.044950e-17
4713.860000 3.277479e-16 1.031579e-17
4716.860000 3.294729e-16 1.172730e-17
4719.860000 3.323272e-16 1.174467e-17
4722.860000 3.234070e-16 1.030884e-17
4725.860000 3.259983e-16 1.058055e-17
4728.860000 3.223788e-16 1.174602e-17
4731.860000 3.096821e-16 1.137835e-17
4734.860000 3.239888e-16 1.019785e-17
4737.860000 3.297572e-16 1.065353e-17
4740.860000 3.236483e-16 1.153425e-17
4743.860000 3.338665e-16 1.113758e-17
4746.860000 3.348778e-16 1.013344e-17
4749.860000 3.367796e-16 1.082912e-17
4752.860000 3.326833e-16 1.157594e-17
4755.860000 3.443636e-16 1.094769e-17
4758.860000 3.291157e-16 1.013241e-17
4761.860000 3.300498e-16 1.115356e-17
4764.860000 3.259067e-16 1.172025e-17
4767.860000 3.283771e-16 1.065854e-17
4770.860000 3.282397e-16 1.026535e-17
4773.860000 3.500956e-16 1.166394e-17
4776.860000 3.581577e-16 1.201941e-17
4779.860000 3.502422e-16 1.067329e-17
4782.860000 3.492352e-16 1.043775e-17
4785.860000 3.380436e-16 1.179874e-17
4788.860000 3.469065e-16 1.181496e-17
4791.860000 3.396338e-16 1.035695e-17
4794.860000 3.457027e-16 1.053490e-17
4797.860000 3.353229e-16 1.176831e-17
4800.860000 3.296922e-16 1.154280e-17
4803.860000 3.247905e-16 1.022477e-17
4806.860000 3.324746e-16 1.068323e-17
4809.860000 3.312555e-16 1.169734e-17
4812.860000 3.538267e-16 1.141785e-17
4815.860000 3.619504e-16 1.043468e-17
4818.860000 3.662729e-16 1.114784e-17
4821.860000 3.656154e-16 1.196458e-17
4824.860000 3.811993e-16 1.130091e-17
4827.860000 4.007681e-16 1.068584e-17
4830.860000 4.172127e-16 1.174874e-17
4833.860000 4.078075e-16 1.222110e-17
4836.860000 3.744528e-16 1.109605e-17
4839.860000 3.611733e-16 1.054766e-17
4842.860000 3.580249e-16 1.165226e-17
4845.860000 3.339204e-16 1.174376e-17
4848.860000 3.296884e-16 1.056602e-17
4851.860000 3.298240e-16 1.038623e-17
4854.860000 3.267072e-16 1.177184e-17
4857.860000 3.124288e-16 1.167281e-17
4860.860000 3.142207e-16 1.031103e-17
4863.860000 3.097736e-16 1.035431e-17
4866.860000 3.182224e-16 1.169057e-17
4869.860000 3.081902e-16 1.146104e-17
4872.860000 3.128498e-16 1.019666e-17
4875.860000 2.961877e-16 1.045658e-17
4878.860000 2.857885e-16 1.151458e-17
4881.860000 2.901391e-16 1.113678e-17
4884.860000 2.987591e-16 1.011662e-17
