# INSTRUMENT_ID: 71
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 213.9260333333333
# DEC: 26.629177777777777
# OBS_DATE: 2010-08-22 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 88212
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
5014.574,1.38398e-15,-9.90000e+01
5017.957,1.48837e-15,-9.90000e+01
5021.340,1.53886e-15,-9.90000e+01
5024.723,1.38257e-15,-9.90000e+01
5028.107,1.46111e-15,-9.90000e+01
5031.490,1.46162e-15,-9.90000e+01
5034.873,1.31265e-15,-9.90000e+01
5038.256,1.41146e-15,-9.90000e+01
5041.640,1.39899e-15,-9.90000e+01
5045.023,1.26687e-15,-9.90000e+01
5048.406,1.15751e-15,-9.90000e+01
5051.789,1.28277e-15,-9.90000e+01
5055.172,1.44975e-15,-9.90000e+01
5058.556,1.33109e-15,-9.90000e+01
5061.939,1.26083e-15,-9.90000e+01
5065.322,1.30371e-15,-9.90000e+01
5068.705,1.36043e-15,-9.90000e+01
5072.088,1.31399e-15,-9.90000e+01
5075.472,1.38319e-15,-9.90000e+01
5078.855,1.41843e-15,-9.90000e+01
5082.238,1.32425e-15,-9.90000e+01
5085.621,1.34192e-15,-9.90000e+01
5089.005,1.25245e-15,-9.90000e+01
5092.388,1.29777e-15,-9.90000e+01
5095.771,1.41488e-15,-9.90000e+01
5099.154,1.34368e-15,-9.90000e+01
5102.537,1.34377e-15,-9.90000e+01
5105.921,1.33554e-15,-9.90000e+01
5109.304,1.27038e-15,-9.90000e+01
5112.687,1.31028e-15,-9.90000e+01
5116.070,1.39490e-15,-9.90000e+01
5119.453,1.42311e-15,-9.90000e+01
5122.837,1.42320e-15,-9.90000e+01
5126.220,1.30335e-15,-9.90000e+01
5129.603,1.34895e-15,-9.90000e+01
5132.986,1.41465e-15,-9.90000e+01
5136.370,1.36917e-15,-9.90000e+01
5139.753,1.32058e-15,-9.90000e+01
5143.136,1.37360e-15,-9.90000e+01
5146.519,1.39823e-15,-9.90000e+01
5149.902,1.42940e-15,-9.90000e+01
5153.286,1.40051e-15,-9.90000e+01
5156.669,1.38455e-15,-9.90000e+01
5160.052,1.43285e-15,-9.90000e+01
5163.435,1.46461e-15,-9.90000e+01
5166.818,1.47889e-15,-9.90000e+01
5170.202,1.55379e-15,-9.90000e+01
5173.585,1.38569e-15,-9.90000e+01
5176.968,1.27239e-15,-9.90000e+01
5180.351,1.33475e-15,-9.90000e+01
5183.735,1.25393e-15,-9.90000e+01
5187.118,1.15453e-15,-9.90000e+01
5190.501,1.33944e-15,-9.90000e+01
5193.884,1.40397e-15,-9.90000e+01
5197.267,1.25972e-15,-9.90000e+01
5200.651,1.22441e-15,-9.90000e+01
5204.034,1.15016e-15,-9.90000e+01
5207.417,1.02842e-15,-9.90000e+01
5210.800,1.04650e-15,-9.90000e+01
5214.183,1.22921e-15,-9.90000e+01
5217.567,1.32410e-15,-9.90000e+01
5220.950,1.28780e-15,-9.90000e+01
5224.333,1.17351e-15,-9.90000e+01
5227.716,1.08784e-15,-9.90000e+01
5231.100,1.13026e-15,-9.90000e+01
5234.483,1.22581e-15,-9.90000e+01
5237.866,1.25344e-15,-9.90000e+01
5241.249,1.17984e-15,-9.90000e+01
5244.632,1.20598e-15,-9.90000e+01
5248.016,1.33112e-15,-9.90000e+01
5251.399,1.26860e-15,-9.90000e+01
5254.782,1.17154e-15,-9.90000e+01
5258.165,1.16951e-15,-9.90000e+01
5261.548,1.21047e-15,-9.90000e+01
5264.932,1.26997e-15,-9.90000e+01
5268.315,1.23728e-15,-9.90000e+01
5271.698,1.14123e-15,-9.90000e+01
5275.081,1.18212e-15,-9.90000e+01
5278.465,1.25608e-15,-9.90000e+01
5281.848,1.16318e-15,-9.90000e+01
5285.231,1.20758e-15,-9.90000e+01
5288.614,1.19948e-15,-9.90000e+01
5291.997,1.12130e-15,-9.90000e+01
5295.381,1.27122e-15,-9.90000e+01
5298.764,1.35670e-15,-9.90000e+01
5302.147,1.30557e-15,-9.90000e+01
5305.530,1.33377e-15,-9.90000e+01
5308.913,1.31074e-15,-9.90000e+01
5312.297,1.36449e-15,-9.90000e+01
5315.680,1.30023e-15,-9.90000e+01
5319.063,1.27528e-15,-9.90000e+01
5322.446,1.33493e-15,-9.90000e+01
5325.830,1.25246e-15,-9.90000e+01
5329.213,1.27885e-15,-9.90000e+01
5332.596,1.37235e-15,-9.90000e+01
5335.979,1.44377e-15,-9.90000e+01
5339.362,1.19993e-15,-9.90000e+01
5342.746,1.16945e-15,-9.90000e+01
5346.129,1.27788e-15,-9.90000e+01
5349.512,1.11139e-15,-9.90000e+01
5352.895,1.23917e-15,-9.90000e+01
5356.278,1.42880e-15,-9.90000e+01
5359.662,1.34687e-15,-9.90000e+01
5363.045,1.31253e-15,-9.90000e+01
5366.428,1.23790e-15,-9.90000e+01
5369.811,1.24233e-15,-9.90000e+01
5373.195,1.38851e-15,-9.90000e+01
5376.578,1.20951e-15,-9.90000e+01
5379.961,1.27983e-15,-9.90000e+01
5383.344,1.35341e-15,-9.90000e+01
5386.727,1.14414e-15,-9.90000e+01
5390.111,1.16929e-15,-9.90000e+01
5393.494,1.21528e-15,-9.90000e+01
5396.877,1.25486e-15,-9.90000e+01
5400.260,1.26137e-15,-9.90000e+01
5403.643,1.24182e-15,-9.90000e+01
5407.027,1.30788e-15,-9.90000e+01
5410.410,1.29530e-15,-9.90000e+01
5413.793,1.32215e-15,-9.90000e+01
5417.176,1.26558e-15,-9.90000e+01
5420.560,1.19845e-15,-9.90000e+01
5423.943,1.33207e-15,-9.90000e+01
5427.326,1.32957e-15,-9.90000e+01
5430.709,1.26099e-15,-9.90000e+01
