# REDSHIFT_QUALITY: None
# UNIT_ID: None
# REDSHIFT_ERR: None
# TRANSIENT_ID: 58684
# SNID_PLOT_FILE: None
# RLAP: None
# SPEC_PLOT_FILE: None
# DATA_QUALITY_ID: None
# DEC: 42.7773888888889
# OBS_DATE: 2020-12-11 15:32:02+00:00
# SPEC_PHASE: None
# OBS_GROUP_ID: 55
# REDSHIFT: None
# INSTRUMENT_ID: 7
# FOLLOWUP_ID: None
# RA: 220.0415
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None

#wavelength flux fluxerr
3668.916 2.12739e-01 1.16363e-02
3670.100 2.08138e-01 1.13119e-02
3671.284 2.28804e-01 1.14176e-02
3672.468 1.99805e-01 1.07372e-02
3673.652 2.05637e-01 1.11900e-02
3674.836 1.93715e-01 1.04316e-02
3676.019 2.14003e-01 1.09387e-02
3677.203 2.24445e-01 1.13331e-02
3678.387 2.38818e-01 1.17424e-02
3679.571 1.92317e-01 1.08685e-02
3680.755 2.10751e-01 1.14140e-02
3681.939 1.77687e-01 1.13618e-02
3683.123 1.80580e-01 1.14738e-02
3684.307 1.81981e-01 1.20054e-02
3685.491 1.64611e-01 1.13336e-02
3686.675 1.96673e-01 1.20373e-02
3687.859 1.85909e-01 1.04273e-02
3689.043 1.87304e-01 1.05418e-02
3690.227 1.78079e-01 1.04393e-02
3691.411 1.85489e-01 1.06186e-02
3692.595 2.06835e-01 1.05212e-02
3693.779 2.22142e-01 1.09584e-02
3694.963 2.42802e-01 1.14810e-02
3696.147 2.46859e-01 1.10972e-02
3697.331 2.45973e-01 1.12203e-02
3698.515 2.59572e-01 1.21512e-02
3699.699 2.62326e-01 1.21457e-02
3700.882 2.62193e-01 1.24538e-02
3702.066 3.25684e-01 1.37423e-02
3703.250 2.46842e-01 1.27082e-02
3704.434 2.37484e-01 1.20984e-02
3705.618 2.26387e-01 1.16901e-02
3706.802 2.09653e-01 1.11714e-02
3707.986 2.19431e-01 1.10156e-02
3709.170 2.21915e-01 1.07022e-02
3710.354 1.98816e-01 1.01297e-02
3711.538 1.92528e-01 9.94500e-03
3712.722 2.10802e-01 1.03255e-02
3713.906 1.99230e-01 1.01654e-02
3715.090 1.98124e-01 1.02771e-02
3716.274 1.96425e-01 1.07987e-02
3717.458 1.88250e-01 1.02909e-02
3718.642 1.96582e-01 1.09979e-02
3719.826 1.96978e-01 1.05205e-02
3721.010 1.93241e-01 1.10463e-02
3722.194 1.64667e-01 1.07268e-02
3723.378 2.07380e-01 1.08734e-02
3724.562 1.87058e-01 1.00911e-02
3725.745 2.20303e-01 1.10115e-02
3726.929 1.91559e-01 9.74557e-03
3728.113 1.93376e-01 1.02245e-02
3729.297 1.93351e-01 9.78628e-03
3730.481 1.74086e-01 9.23970e-03
3731.665 1.77711e-01 9.36768e-03
3732.849 1.67147e-01 9.42271e-03
3734.033 1.64340e-01 9.34958e-03
3735.217 1.67045e-01 9.34940e-03
3736.401 1.58788e-01 1.04379e-02
3737.585 1.45235e-01 9.37310e-03
3738.769 1.54225e-01 1.01704e-02
3739.953 1.46781e-01 9.64484e-03
3741.137 1.62967e-01 1.07746e-02
3742.321 1.27924e-01 9.54994e-03
3743.505 1.76206e-01 1.00114e-02
3744.689 1.48975e-01 9.00362e-03
3745.873 1.55034e-01 9.41410e-03
3747.057 1.30462e-01 8.43375e-03
3748.241 1.44081e-01 8.74237e-03
3749.425 1.48340e-01 8.40777e-03
3750.608 1.32376e-01 8.44542e-03
3751.792 1.35476e-01 8.06568e-03
3752.976 1.47162e-01 8.61774e-03
3754.160 1.25506e-01 8.93860e-03
3755.344 1.29158e-01 8.69265e-03
3756.528 1.52211e-01 9.44984e-03
3757.712 1.21795e-01 9.30553e-03
3758.896 1.26328e-01 1.08494e-02
3760.080 8.24286e-02 1.25293e-02
3761.264 8.26748e-02 1.34620e-02
3762.448 5.74894e-02 1.47815e-02
3763.632 8.18745e-02 1.43042e-02
3764.816 9.56773e-02 1.37495e-02
3766.000 1.57378e-01 1.10572e-02
3767.184 1.78499e-01 9.36556e-03
3768.368 1.82486e-01 9.09665e-03
3769.552 1.80081e-01 9.05099e-03
3770.736 2.09078e-01 9.54847e-03
3771.920 2.22970e-01 9.68103e-03
3773.104 2.04981e-01 9.69183e-03
3774.288 1.99865e-01 1.02011e-02
3775.471 2.35265e-01 1.09439e-02
3776.655 2.51313e-01 1.12766e-02
3777.839 2.57968e-01 1.19778e-02
3779.023 2.84828e-01 1.20800e-02
3780.207 2.77991e-01 1.18763e-02
3781.391 2.95576e-01 1.17859e-02
3782.575 2.98706e-01 1.13533e-02
3783.759 3.25638e-01 1.14458e-02
3784.943 3.55767e-01 1.15891e-02
3786.127 3.28176e-01 1.12067e-02
3787.311 3.21002e-01 1.10793e-02
3788.495 3.42202e-01 1.13021e-02
3789.679 3.39917e-01 1.13712e-02
3790.863 3.28446e-01 1.12061e-02
3792.047 3.54071e-01 1.17220e-02
3793.231 3.51890e-01 1.20698e-02
3794.415 3.44823e-01 1.22153e-02
3795.599 3.37104e-01 1.23313e-02
3796.783 3.52202e-01 1.28440e-02
3797.967 3.22000e-01 1.23295e-02
3799.151 3.29581e-01 1.24640e-02
3800.335 3.36752e-01 1.20035e-02
3801.518 3.17199e-01 1.13675e-02
3802.702 3.06663e-01 1.10593e-02
3803.886 3.32256e-01 1.09940e-02
3805.070 3.44199e-01 1.11521e-02
3806.254 3.29143e-01 1.10562e-02
3807.438 3.29314e-01 1.09782e-02
3808.622 3.51590e-01 1.11279e-02
3809.806 3.55553e-01 1.11490e-02
3810.990 3.49424e-01 1.12621e-02
3812.174 3.25693e-01 1.10336e-02
3813.358 3.37633e-01 1.17406e-02
3814.542 3.51724e-01 1.22772e-02
3815.726 3.01321e-01 1.20787e-02
3816.910 2.90866e-01 1.19299e-02
3818.094 2.88410e-01 1.16826e-02
3819.278 2.87104e-01 1.14234e-02
3820.462 2.71903e-01 1.07089e-02
3821.646 2.62792e-01 1.04178e-02
3822.830 2.37720e-01 9.89219e-03
3824.014 2.41814e-01 9.74364e-03
3825.198 2.49846e-01 9.67325e-03
3826.381 2.34119e-01 9.58430e-03
3827.565 2.31428e-01 9.45793e-03
3828.749 2.38938e-01 1.00244e-02
3829.933 2.46963e-01 9.65388e-03
3831.117 2.32464e-01 9.66944e-03
3832.301 2.32460e-01 1.00472e-02
3833.485 2.19516e-01 1.06893e-02
3834.669 2.42540e-01 1.07115e-02
3835.853 2.29174e-01 1.04559e-02
3837.037 2.35702e-01 1.04843e-02
3838.221 2.37864e-01 1.02665e-02
3839.405 2.39818e-01 9.80932e-03
3840.589 2.40538e-01 9.89502e-03
3841.773 2.56738e-01 9.97028e-03
3842.957 2.43970e-01 9.60710e-03
3844.141 2.60362e-01 9.96565e-03
3845.325 2.62309e-01 9.89806e-03
3846.509 2.57879e-01 9.74503e-03
3847.693 3.05367e-01 1.10723e-02
3848.877 2.98241e-01 1.04864e-02
3850.061 3.00651e-01 1.07954e-02
3851.244 3.43081e-01 1.15067e-02
3852.428 3.48968e-01 1.19554e-02
3853.612 3.39833e-01 1.21873e-02
3854.796 3.49610e-01 1.24868e-02
3855.980 3.67491e-01 1.21885e-02
3857.164 3.86988e-01 1.20312e-02
3858.348 3.58900e-01 1.14782e-02
3859.532 3.73667e-01 1.14331e-02
3860.716 3.82912e-01 1.14264e-02
3861.900 3.64257e-01 1.09251e-02
3863.084 3.67264e-01 1.09021e-02
3864.268 3.84464e-01 1.09930e-02
3865.452 3.61926e-01 1.07041e-02
3866.636 3.71371e-01 1.08905e-02
3867.820 3.63592e-01 1.10672e-02
3869.004 3.73607e-01 1.13084e-02
3870.188 3.70507e-01 1.13765e-02
3871.372 3.77193e-01 1.17785e-02
3872.556 3.88989e-01 1.22811e-02
3873.740 3.69407e-01 1.18892e-02
3874.924 3.68394e-01 1.17020e-02
3876.107 3.83308e-01 1.16900e-02
3877.291 3.47241e-01 1.09946e-02
3878.475 3.39402e-01 1.06438e-02
3879.659 3.40827e-01 1.04566e-02
3880.843 3.58967e-01 1.05357e-02
3882.027 3.46088e-01 1.03660e-02
3883.211 3.41827e-01 1.02269e-02
3884.395 3.07185e-01 9.96723e-03
