#WAVE FLUX ERR BGFLUX
7066.7695 1.9115814E-16 4.2887933E-18 1.1446498E-16
7070.984 1.9340131E-16 4.2969498E-18 1.1351198E-16
7075.198 1.921269E-16 4.2803065E-18 1.1196914E-16
7079.4126 1.9329125E-16 4.300855E-18 1.1437866E-16
7083.6265 1.9681438E-16 4.317384E-18 1.1317349E-16
7087.841 1.9861553E-16 4.3144918E-18 1.1049092E-16
7092.055 1.9657466E-16 4.316208E-18 1.1272559E-16
7096.269 2.0257257E-16 4.322398E-18 1.08167755E-16
7100.4834 2.0857036E-16 4.337427E-18 1.0473616E-16
7104.6978 2.0462856E-16 4.323413E-18 1.0581375E-16
7108.9116 2.0890081E-16 4.3134652E-18 9.991572E-17
7113.126 2.1966772E-16 4.395333E-18 1.0285681E-16
7117.3403 2.1449411E-16 4.3806534E-18 1.055533E-16
7121.5547 2.1103347E-16 4.3654217E-18 1.0625598E-16
7125.7686 2.1231254E-16 4.3541927E-18 1.0306272E-16
7129.983 2.1065987E-16 4.376187E-18 1.07053814E-16
7134.1973 2.0893942E-16 4.379229E-18 1.0911371E-16
7138.411 2.10547E-16 4.398478E-18 1.1098951E-16
7142.6255 2.1499229E-16 4.4071865E-18 1.0827389E-16
7146.84 2.1097206E-16 4.377273E-18 1.0757581E-16
7151.054 2.1117034E-16 4.37017E-18 1.0634503E-16
7155.268 2.0008972E-16 4.2927258E-18 1.0499707E-16
7159.4824 2.1246513E-16 4.3422834E-18 1.0339641E-16
7163.697 2.1270867E-16 4.320194E-18 1.0280964E-16
7167.9106 2.1146616E-16 4.2760717E-18 1.003005E-16
7172.125 2.0660842E-16 4.2220428E-18 9.951227E-17
7176.3394 2.0674149E-16 4.187248E-18 9.679674E-17
7180.5537 2.1270211E-16 4.1663694E-18 9.1004915E-17
7184.7676 2.0624741E-16 4.1359465E-18 9.346391E-17
7188.982 2.0669953E-16 4.113203E-18 9.043561E-17
7193.1963 2.1148511E-16 4.146024E-18 9.1033364E-17
7197.41 2.1882703E-16 4.198549E-18 9.224187E-17
7201.6245 2.14943E-16 4.205826E-18 9.3690334E-17
